iter	Passed	Remaining
0	81	80988
1	108	53959
2	134	44664
3	161	40142
4	186	37049
5	212	35121
6	239	33954
7	264	32838
8	289	31911
9	317	31460
10	344	30979
11	369	30411
12	399	30302
13	426	30012
14	453	29802
15	480	29540
16	505	29243
17	532	29039
18	558	28811
19	584	28626
20	611	28517
21	638	28401
22	664	28212
23	690	28095
24	718	28007
25	747	28015
26	789	28449
27	827	28718
28	848	28401
29	870	28137
30	889	27796
31	908	27478
32	925	27120
33	944	26826
34	963	26574
35	983	26324
36	1000	26041
37	1018	25789
38	1037	25565
39	1055	25328
40	1073	25105
41	1091	24894
42	1112	24750
43	1130	24566
44	1147	24347
45	1165	24174
46	1190	24146
47	1219	24180
48	1250	24276
49	1277	24266
50	1306	24305
51	1333	24310
52	1361	24330
53	1390	24358
54	1426	24505
55	1458	24584
56	1497	24782
57	1539	24998
58	1580	25209
59	1638	25672
60	1672	25750
61	1703	25768
62	1730	25732
63	1757	25703
64	1783	25660
65	1811	25628
66	1837	25589
67	1863	25547
68	1889	25499
69	1924	25571
70	1956	25599
71	1983	25567
72	2010	25524
73	2034	25463
74	2062	25435
75	2088	25394
76	2116	25364
77	2140	25299
78	2166	25257
79	2194	25235
80	2221	25207
81	2248	25166
82	2273	25122
83	2303	25122
84	2343	25231
85	2381	25312
86	2417	25372
87	2442	25315
88	2469	25276
89	2497	25251
90	2525	25229
91	2553	25200
92	2580	25170
93	2613	25194
94	2645	25197
95	2678	25221
96	2724	25367
97	2757	25378
98	2788	25378
99	2820	25381
100	2854	25410
101	2885	25400
102	2921	25438
103	2972	25606
104	3020	25745
105	3067	25867
106	3115	25997
107	3157	26081
108	3201	26169
109	3238	26201
110	3265	26155
111	3303	26190
112	3340	26218
113	3371	26200
114	3399	26164
115	3426	26109
116	3455	26082
117	3480	26018
118	3508	25973
119	3536	25937
120	3564	25892
121	3596	25880
122	3634	25916
123	3673	25951
124	3699	25896
125	3727	25853
126	3755	25812
127	3782	25766
128	3807	25708
129	3838	25688
130	3888	25796
131	3922	25792
132	3955	25787
133	3986	25761
134	4019	25753
135	4049	25729
136	4102	25839
137	4146	25899
138	4193	25973
139	4230	25985
140	4270	26019
141	4323	26123
142	4375	26220
143	4420	26278
144	4460	26303
145	4509	26378
146	4557	26443
147	4598	26473
148	4651	26565
149	4682	26536
150	4709	26479
151	4737	26428
152	4763	26371
153	4792	26327
154	4835	26363
155	4867	26335
156	4893	26275
157	4920	26223
158	4945	26158
159	4974	26115
160	5001	26064
161	5028	26011
162	5053	25951
163	5082	25908
164	5108	25853
165	5135	25799
166	5164	25758
167	5206	25783
168	5240	25766
169	5266	25711
170	5312	25753
171	5350	25756
172	5385	25746
173	5429	25775
174	5462	25754
175	5503	25767
176	5550	25807
177	5606	25889
178	5656	25942
179	5703	25984
180	5756	26047
181	5802	26079
182	5843	26088
183	5901	26169
184	5936	26153
185	5963	26096
186	5991	26047
187	6018	25995
188	6044	25938
189	6072	25887
190	6098	25830
191	6125	25779
192	6152	25724
193	6179	25673
194	6206	25623
195	6254	25657
196	6310	25721
197	6353	25735
198	6392	25731
199	6452	25808
200	6493	25812
201	6541	25842
202	6585	25854
203	6636	25896
204	6680	25906
205	6731	25945
206	6779	25972
207	6828	26000
208	6870	26004
209	6914	26010
210	6956	26011
211	6996	26004
212	7047	26040
213	7104	26092
214	7137	26059
215	7169	26021
216	7198	25975
217	7228	25931
218	7263	25903
219	7290	25848
220	7321	25809
221	7351	25761
222	7385	25734
223	7431	25745
224	7473	25742
225	7516	25743
226	7545	25693
227	7572	25640
228	7598	25581
229	7635	25563
230	7691	25605
231	7733	25602
232	7785	25628
233	7831	25635
234	7874	25632
235	7923	25651
236	7958	25623
237	7996	25600
238	8044	25613
239	8088	25612
240	8143	25647
241	8194	25668
242	8243	25680
243	8289	25684
244	8324	25652
245	8352	25600
246	8379	25544
247	8406	25490
248	8433	25437
249	8458	25374
250	8485	25322
251	8517	25282
252	8544	25228
253	8571	25175
254	8597	25119
255	8626	25070
256	8654	25020
257	8681	24967
258	8709	24916
259	8736	24866
260	8765	24817
261	8790	24762
262	8816	24707
263	8842	24652
264	8870	24604
265	8903	24569
266	8938	24537
267	8969	24498
268	9003	24465
269	9040	24441
270	9076	24415
271	9107	24374
272	9145	24353
273	9199	24375
274	9251	24391
275	9294	24380
276	9343	24387
277	9387	24380
278	9478	24493
279	9515	24469
280	9555	24449
281	9589	24416
282	9628	24393
283	9680	24405
284	9743	24444
285	9826	24530
286	9860	24497
287	9899	24472
288	9930	24432
289	9960	24385
290	9990	24340
291	10020	24296
292	10059	24273
293	10111	24281
294	10159	24278
295	10206	24274
296	10251	24265
297	10288	24237
